# category|name|defaultUnit (merged system seed)
간식/떡/빙과|가래떡|개
간식/떡/빙과|곤약|개
간식/떡/빙과|과자믹스|개
간식/떡/빙과|꿀|개
간식/떡/빙과|당근즙|개
간식/떡/빙과|땅콩버터|개
간식/떡/빙과|마시멜로|개
간식/떡/빙과|메이플시럽|개
간식/떡/빙과|바닐라익스트랙|개
간식/떡/빙과|베이킹파우더|개
간식/떡/빙과|샤베트|개
간식/떡/빙과|송편|개
간식/떡/빙과|아이스크림바|개
간식/떡/빙과|약과|개
간식/떡/빙과|엿|개
간식/떡/빙과|요거트바|개
간식/떡/빙과|이스트|개
간식/떡/빙과|인절미|개
간식/떡/빙과|잼|개
간식/떡/빙과|젤리|개
간식/떡/빙과|초코바|개
간식/떡/빙과|초콜릿|개
간식/떡/빙과|코코아파우더|개
간식/떡/빙과|쿠키|개
간식/떡/빙과|크래커|개
간식/떡/빙과|팥빙수|개
간식/떡/빙과|팥앙금|개
간식/떡/빙과|한과|개
간식/떡/빙과|한천|개
간식/떡/빙과|핫케이크가루|개
간식/떡/빙과|호떡믹스|개
건강식품|그래놀라|개
건강식품|글루코사민|개
건강식품|루테인|개
건강식품|마그네슘|개
건강식품|밀크씨슬|개
건강식품|비타민D|개
건강식품|스피루리나|개
건강식품|아마씨|개
건강식품|아몬드|개
건강식품|아연|개
건강식품|오메가3|개
건강식품|잣|개
건강식품|철분|개
건강식품|치아씨드|개
건강식품|클로렐라|개
건강식품|프로바이오틱스|개
건강식품|프로틴바|개
건강식품|해바라기씨|개
건강식품|헴프씨드|개
건강식품|호두|개
건강식품|호박씨|개
과일|감귤|개
과일|건포도|개
과일|곶감|개
과일|구아바|개
과일|대추|개
과일|두리안|개
과일|딸기|개
과일|라즈베리|개
과일|레몬|개
과일|리치|개
과일|망고|개
과일|멜론|개
과일|바나나|개
과일|밤|개
과일|배|개
과일|복숭아|개
과일|블랙베리|개
과일|블루베리|개
과일|사과|개
과일|석류|개
과일|수박|개
과일|오렌지|개
과일|용과|개
과일|은행|개
과일|자두|개
과일|자몽|개
과일|잭프루트|개
과일|참외|개
과일|크랜베리|개
과일|키위|개
과일|파인애플|개
과일|파파야|개
과일|포도|개
과일|홍시|개
김치/반찬|갓김치|개
김치/반찬|겉절이|개
김치/반찬|고추장아찌|개
김치/반찬|김치|개
김치/반찬|나박김치|개
김치/반찬|동치미|개
김치/반찬|두부|개
김치/반찬|마늘쫑장아찌|개
김치/반찬|묵은지|개
김치/반찬|백김치|개
김치/반찬|부추김치|개
김치/반찬|석박지|개
김치/반찬|순두부|개
김치/반찬|시래기|개
김치/반찬|열무김치|개
김치/반찬|오이소박이|개
김치/반찬|절임배추|개
김치/반찬|총각김치|개
김치/반찬|파김치|개
베이커리|도넛|개
베이커리|머핀|개
베이커리|모닝빵|개
베이커리|바게트|개
베이커리|스콘|개
베이커리|식빵|개
베이커리|크루아상|개
베이커리|파이|개
수산/건어물|갈치|개
수산/건어물|건다시마|개
수산/건어물|건미역|개
수산/건어물|건새우|개
수산/건어물|건표고|개
수산/건어물|고등어|개
수산/건어물|김|개
수산/건어물|꼬막|개
수산/건어물|낙지|개
수산/건어물|다시마|개
수산/건어물|다시멸치|개
수산/건어물|대구|개
수산/건어물|멍게|개
수산/건어물|멸치|개
수산/건어물|멸치액젓|개
수산/건어물|문어|개
수산/건어물|미더덕|개
수산/건어물|미역|개
수산/건어물|바지락|개
수산/건어물|새우|개
수산/건어물|아귀|개
수산/건어물|연어|개
수산/건어물|연어필렛|개
수산/건어물|오징어|개
수산/건어물|전복|개
수산/건어물|조개|개
수산/건어물|키조개|개
수산/건어물|한치|개
수산/건어물|해삼|개
수산/건어물|홍합|개
쌀/잡곡|검은콩|개
쌀/잡곡|국수|개
쌀/잡곡|귀리|g
쌀/잡곡|깨|g
쌀/잡곡|녹두|개
쌀/잡곡|당면|개
쌀/잡곡|떡|개
쌀/잡곡|라면|개
쌀/잡곡|렌틸콩|g
쌀/잡곡|밀가루|개
쌀/잡곡|보리|g
쌀/잡곡|볶음참깨|개
쌀/잡곡|빵가루|개
쌀/잡곡|서리태|g
쌀/잡곡|소면|개
쌀/잡곡|수수|g
쌀/잡곡|쌀|개
쌀/잡곡|아마란스|g
쌀/잡곡|율무|g
쌀/잡곡|전분|개
쌀/잡곡|조|g
쌀/잡곡|차조|g
쌀/잡곡|찹쌀|g
쌀/잡곡|콩|개
쌀/잡곡|퀴노아|g
쌀/잡곡|통깨|개
쌀/잡곡|튀김가루|개
쌀/잡곡|파스타|개
쌀/잡곡|팥|g
쌀/잡곡|펄바|g
쌀/잡곡|현미|g
쌀/잡곡|흑미|g
우유/유제품|계란|개
우유/유제품|고다|개
우유/유제품|그릭요거트|개
우유/유제품|낫토|개
우유/유제품|라씨|개
우유/유제품|리코타|개
우유/유제품|마스카포네|개
우유/유제품|모짜렐라|개
우유/유제품|모차렐라|개
우유/유제품|버터|개
우유/유제품|버터밀크|개
우유/유제품|생크림|개
우유/유제품|야쿠르트|개
우유/유제품|연유|개
우유/유제품|요거트|개
우유/유제품|요구르트|개
우유/유제품|우유|개
우유/유제품|체다|개
우유/유제품|체다치즈|개
우유/유제품|치즈|개
우유/유제품|케피어|개
우유/유제품|크림치즈|개
우유/유제품|파마산|개
우유/유제품|휘핑크림|개
장/양념/소스|가쓰오부시|개
장/양념/소스|간장|개
장/양념/소스|겨자|개
장/양념/소스|고추장|개
장/양념/소스|고추장찌개용|개
장/양념/소스|고춧가루|개
